"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"159586",48,1,"binding3","5","himself",517,"Mr. Smith said that the girl cut himself with a knife while cooking.",517,"48/5",517,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"163519",49,1,"binding3","5","himself",491,"Mr. Smith said that the girl cut himself with a knife while cooking.",491,"49/5",491,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"24000",3,1,"binding4","5","himself",698,"Miss Carroll said that the girl cut himself with a knife while cooking.",698,"3/5",698,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"31278",5,1,"binding4","5","himself",281,"Miss Carroll said that the girl cut himself with a knife while cooking.",281,"5/5",281,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"36134",7,1,"binding4","5","himself",438,"Miss Carroll said that the girl cut himself with a knife while cooking.",438,"7/5",438,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"37904",8,1,"binding4","5","himself",527,"Miss Carroll said that the girl cut himself with a knife while cooking.",527,"8/5",527,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"46430",11,1,"binding4","5","himself",385,"Miss Carroll said that the girl cut himself with a knife while cooking.",385,"11/5",385,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"72364",20,1,"binding4","5","himself",330,"Miss Carroll said that the girl cut himself with a knife while cooking.",330,"20/5",330,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"92849",26,1,"binding4","5","himself",681,"Miss Carroll said that the girl cut himself with a knife while cooking.",681,"26/5",681,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"103038",29,1,"binding4","5","himself",606,"Miss Carroll said that the girl cut himself with a knife while cooking.",606,"29/5",606,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"110120",32,1,"binding4","5","himself",681,"Miss Carroll said that the girl cut himself with a knife while cooking.",681,"32/5",681,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"126508",37,1,"binding4","5","himself",588,"Miss Carroll said that the girl cut himself with a knife while cooking.",588,"37/5",588,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"127306",38,1,"binding4","5","himself",1170,"Miss Carroll said that the girl cut himself with a knife while cooking.",1170,"38/5",1170,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"133737",40,1,"binding4","5","himself",836,"Miss Carroll said that the girl cut himself with a knife while cooking.",836,"40/5",836,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
