"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"117860",34,1,"binding3","6","with a knife",649,"Mr. Smith said that the girl cut himself with a knife while cooking.",649,"34/6",649,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"159587",48,1,"binding3","6","with a knife",1273,"Mr. Smith said that the girl cut himself with a knife while cooking.",1273,"48/6",1273,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"163520",49,1,"binding3","6","with a knife",993,"Mr. Smith said that the girl cut himself with a knife while cooking.",993,"49/6",993,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"24001",3,1,"binding4","6","with a knife",1396,"Miss Carroll said that the girl cut himself with a knife while cooking.",1396,"3/6",NA,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"31279",5,1,"binding4","6","with a knife",282,"Miss Carroll said that the girl cut himself with a knife while cooking.",282,"5/6",282,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"36135",7,1,"binding4","6","with a knife",767,"Miss Carroll said that the girl cut himself with a knife while cooking.",767,"7/6",767,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"37905",8,1,"binding4","6","with a knife",336,"Miss Carroll said that the girl cut himself with a knife while cooking.",336,"8/6",336,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"46431",11,1,"binding4","6","with a knife",862,"Miss Carroll said that the girl cut himself with a knife while cooking.",862,"11/6",862,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"72365",20,1,"binding4","6","with a knife",422,"Miss Carroll said that the girl cut himself with a knife while cooking.",422,"20/6",422,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"92850",26,1,"binding4","6","with a knife",1450,"Miss Carroll said that the girl cut himself with a knife while cooking.",1450,"26/6",1450,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"103039",29,1,"binding4","6","with a knife",1033,"Miss Carroll said that the girl cut himself with a knife while cooking.",1033,"29/6",1033,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"110121",32,1,"binding4","6","with a knife",1150,"Miss Carroll said that the girl cut himself with a knife while cooking.",1150,"32/6",1150,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"126509",37,1,"binding4","6","with a knife",876,"Miss Carroll said that the girl cut himself with a knife while cooking.",876,"37/6",876,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"127307",38,1,"binding4","6","with a knife",1745,"Miss Carroll said that the girl cut himself with a knife while cooking.",1745,"38/6",1745,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"133738",40,1,"binding4","6","with a knife",1554,"Miss Carroll said that the girl cut himself with a knife while cooking.",1554,"40/6",1554,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"136068",41,1,"binding4","6","with a knife",1057,"Miss Carroll said that the girl cut himself with a knife while cooking.",1057,"41/6",1057,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"146725",45,1,"binding4","6","with a knife",751,"Miss Carroll said that the girl cut himself with a knife while cooking.",751,"45/6",751,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"152303",46,1,"binding4","6","with a knife",2405,"Miss Carroll said that the girl cut himself with a knife while cooking.",2405,"46/6",2405,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"155928",47,1,"binding4","6","with a knife",867,"Miss Carroll said that the girl cut himself with a knife while cooking.",867,"47/6",867,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"25513",3,2,"binding1","6","how to cook",920,"Miss Kelly said that the woman taught herself how to cook last year.",920,"3/6",920,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"31489",5,2,"binding1","6","how to cook",297,"Miss Kelly said that the woman taught herself how to cook last year.",297,"5/6",297,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"35253",7,2,"binding1","6","how to cook",396,"Miss Kelly said that the woman taught herself how to cook last year.",396,"7/6",396,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"39606",8,2,"binding1","6","how to cook",495,"Miss Kelly said that the woman taught herself how to cook last year.",495,"8/6",495,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"47103",11,2,"binding1","6","how to cook",700,"Miss Kelly said that the woman taught herself how to cook last year.",700,"11/6",700,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"74045",20,2,"binding1","6","how to cook",626,"Miss Kelly said that the woman taught herself how to cook last year.",626,"20/6",626,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"93417",26,2,"binding1","6","how to cook",749,"Miss Kelly said that the woman taught herself how to cook last year.",749,"26/6",749,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"102262",29,2,"binding1","6","how to cook",1197,"Miss Kelly said that the woman taught herself how to cook last year.",1197,"29/6",1197,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"108819",32,2,"binding1","6","how to cook",1860,"Miss Kelly said that the woman taught herself how to cook last year.",1860,"32/6",1860,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"126194",37,2,"binding1","6","how to cook",862,"Miss Kelly said that the woman taught herself how to cook last year.",862,"37/6",862,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"128882",38,2,"binding1","6","how to cook",35,"Miss Kelly said that the woman taught herself how to cook last year.",NA,"38/6",NA,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"132814",40,2,"binding1","6","how to cook",1600,"Miss Kelly said that the woman taught herself how to cook last year.",1600,"40/6",1600,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"136803",41,2,"binding1","6","how to cook",544,"Miss Kelly said that the woman taught herself how to cook last year.",544,"41/6",544,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"145738",45,2,"binding1","6","how to cook",584,"Miss Kelly said that the woman taught herself how to cook last year.",584,"45/6",584,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"152660",46,2,"binding1","6","how to cook",915,"Miss Kelly said that the woman taught herself how to cook last year.",915,"46/6",915,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"154164",47,2,"binding1","6","how to cook",959,"Miss Kelly said that the woman taught herself how to cook last year.",959,"47/6",959,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
