"","subject","item","list","phrase","word","rt","sentence","accessible_G","inaccessible_G","accessible","inaccessible"
"75426",21,1,"binding1","1","Miss Carroll",1019,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"75427",21,1,"binding1","2","said that",772,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"75428",21,1,"binding1","3","the girl",1119,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"75429",21,1,"binding1","4","cut",810,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"75430",21,1,"binding1","5","herself",693,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"75431",21,1,"binding1","6","with a knife",623,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"75432",21,1,"binding1","7","while cooking.",1088,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84657",23,1,"binding1","1","Miss Carroll",624,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84658",23,1,"binding1","2","said that",695,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84659",23,1,"binding1","3","the girl",657,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84660",23,1,"binding1","4","cut",654,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84661",23,1,"binding1","5","herself",534,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84662",23,1,"binding1","6","with a knife",723,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"84663",23,1,"binding1","7","while cooking.",980,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"129822",39,1,"binding1","1","Miss Carroll",1705,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"129836",39,1,"binding1","2","said that",1657,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"129837",39,1,"binding1","3","the girl",956,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"129838",39,1,"binding1","4","cut",797,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
