"subject","item","rt","accessible","inaccessible","group","region","trial","accessible_g","inaccessible_g","group_g","region_g"
"Native 27",9,"465",-1,1,-1,1,"Native 27 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 28",9,"448",-1,1,-1,-1,"Native 28 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 28",9,"576",-1,1,-1,1,"Native 28 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 29",9,"537",-1,1,-1,-1,"Native 29 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 29",9,"398",-1,1,-1,1,"Native 29 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 30",9,"264",-1,1,-1,-1,"Native 30 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 30",9,"305",-1,1,-1,1,"Native 30 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 31",9,"335",-1,1,-1,-1,"Native 31 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 31",9,"865",-1,1,-1,1,"Native 31 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 32",9,"452",-1,1,-1,-1,"Native 32 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 32",9,"463",-1,1,-1,1,"Native 32 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 33",9,"433",-1,1,-1,-1,"Native 33 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 33",9,"607",-1,1,-1,1,"Native 33 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 34",9,"693",-1,1,-1,-1,"Native 34 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 34",9,"689",-1,1,-1,1,"Native 34 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 35",9,"1096",-1,1,-1,-1,"Native 35 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 35",9,"608",-1,1,-1,1,"Native 35 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 36",9,"368",-1,1,-1,-1,"Native 36 9","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 36",9,"385",-1,1,-1,1,"Native 36 9","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 37",9,"371",1,-1,-1,-1,"Native 37 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 37",9,"650",1,-1,-1,1,"Native 37 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 38",9,"422",1,-1,-1,-1,"Native 38 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 38",9,"434",1,-1,-1,1,"Native 38 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 39",9,"336",1,-1,-1,-1,"Native 39 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 39",9,"1632",1,-1,-1,1,"Native 39 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 40",9,"400",1,-1,-1,-1,"Native 40 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 40",9,"464",1,-1,-1,1,"Native 40 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 41",9,"1298",1,-1,-1,-1,"Native 41 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 41",9,"734",1,-1,-1,1,"Native 41 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 42",9,"570",1,-1,-1,-1,"Native 42 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 42",9,"699",1,-1,-1,1,"Native 42 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 43",9,"411",1,-1,-1,-1,"Native 43 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 43",9,"471",1,-1,-1,1,"Native 43 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 44",9,"504",1,-1,-1,-1,"Native 44 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 44",9,"1001",1,-1,-1,1,"Native 44 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 45",9,"457",1,-1,-1,-1,"Native 45 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 45",9,"539",1,-1,-1,1,"Native 45 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 46",9,"648",1,-1,-1,-1,"Native 46 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 46",9,"1448",1,-1,-1,1,"Native 46 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 47",9,"326",1,-1,-1,-1,"Native 47 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 47",9,"421",1,-1,-1,1,"Native 47 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 48",9,"1058",1,-1,-1,-1,"Native 48 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 48",9,"753",1,-1,-1,1,"Native 48 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 49",9,"576",1,-1,-1,-1,"Native 49 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 49",9,"512",1,-1,-1,1,"Native 49 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 50",9,"504",1,-1,-1,-1,"Native 50 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 50",9,"613",1,-1,-1,1,"Native 50 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 51",9,"1218",1,-1,-1,-1,"Native 51 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 51",9,"743",1,-1,-1,1,"Native 51 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 52",9,"544",1,-1,-1,-1,"Native 52 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 52",9,"504",1,-1,-1,1,"Native 52 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 53",9,"473",1,-1,-1,-1,"Native 53 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 53",9,"497",1,-1,-1,1,"Native 53 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 54",9,"374",1,-1,-1,-1,"Native 54 9","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 54",9,"475",1,-1,-1,1,"Native 54 9","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 55",9,"311",1,1,-1,-1,"Native 55 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 55",9,"282",1,1,-1,1,"Native 55 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 56",9,"347",1,1,-1,-1,"Native 56 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 56",9,"544",1,1,-1,1,"Native 56 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 57",9,"427",1,1,-1,-1,"Native 57 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 57",9,"643",1,1,-1,1,"Native 57 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 58",9,"1329",1,1,-1,-1,"Native 58 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 58",9,"4710",1,1,-1,1,"Native 58 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 59",9,"688",1,1,-1,-1,"Native 59 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 59",9,"1400",1,1,-1,1,"Native 59 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 60",9,"397",1,1,-1,-1,"Native 60 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 60",9,"438",1,1,-1,1,"Native 60 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 61",9,"344",1,1,-1,-1,"Native 61 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 61",9,"392",1,1,-1,1,"Native 61 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 62",9,"369",1,1,-1,-1,"Native 62 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 62",9,"470",1,1,-1,1,"Native 62 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 63",9,"389",1,1,-1,-1,"Native 63 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 63",9,"571",1,1,-1,1,"Native 63 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 64",9,"335",1,1,-1,-1,"Native 64 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 64",9,"331",1,1,-1,1,"Native 64 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 65",9,"670",1,1,-1,-1,"Native 65 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 65",9,"1309",1,1,-1,1,"Native 65 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 66",9,"293",1,1,-1,-1,"Native 66 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 66",9,"504",1,1,-1,1,"Native 66 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 67",9,"445",1,1,-1,-1,"Native 67 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 67",9,"654",1,1,-1,1,"Native 67 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 68",9,"509",1,1,-1,-1,"Native 68 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 68",9,"480",1,1,-1,1,"Native 68 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 69",9,"301",1,1,-1,-1,"Native 69 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 69",9,"363",1,1,-1,1,"Native 69 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 70",9,"730",1,1,-1,-1,"Native 70 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 70",9,"376",1,1,-1,1,"Native 70 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 71",9,"501",1,1,-1,-1,"Native 71 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 71",9,"666",1,1,-1,1,"Native 71 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 72",9,"272",1,1,-1,-1,"Native 72 9","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 72",9,"280",1,1,-1,1,"Native 72 9","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 55",10,"341",-1,-1,-1,-1,"Native 55 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 55",10,"357",-1,-1,-1,1,"Native 55 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 56",10,"533",-1,-1,-1,-1,"Native 56 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 56",10,"472",-1,-1,-1,1,"Native 56 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 57",10,"370",-1,-1,-1,-1,"Native 57 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 57",10,"317",-1,-1,-1,1,"Native 57 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 58",10,"450",-1,-1,-1,-1,"Native 58 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 58",10,"449",-1,-1,-1,1,"Native 58 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 59",10,"456",-1,-1,-1,-1,"Native 59 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 59",10,"513",-1,-1,-1,1,"Native 59 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 60",10,"385",-1,-1,-1,-1,"Native 60 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 60",10,"391",-1,-1,-1,1,"Native 60 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 61",10,"585",-1,-1,-1,-1,"Native 61 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 61",10,"504",-1,-1,-1,1,"Native 61 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 62",10,"375",-1,-1,-1,-1,"Native 62 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 62",10,"385",-1,-1,-1,1,"Native 62 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 63",10,"358",-1,-1,-1,-1,"Native 63 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 63",10,"382",-1,-1,-1,1,"Native 63 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 64",10,"362",-1,-1,-1,-1,"Native 64 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 64",10,"320",-1,-1,-1,1,"Native 64 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 65",10,"410",-1,-1,-1,-1,"Native 65 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 65",10,"410",-1,-1,-1,1,"Native 65 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 66",10,"467",-1,-1,-1,-1,"Native 66 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 66",10,"343",-1,-1,-1,1,"Native 66 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 67",10,"429",-1,-1,-1,-1,"Native 67 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 67",10,"382",-1,-1,-1,1,"Native 67 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 68",10,"675",-1,-1,-1,-1,"Native 68 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 68",10,"406",-1,-1,-1,1,"Native 68 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 69",10,"302",-1,-1,-1,-1,"Native 69 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 69",10,"350",-1,-1,-1,1,"Native 69 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 70",10,"418",-1,-1,-1,-1,"Native 70 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 70",10,"484",-1,-1,-1,1,"Native 70 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 71",10,"684",-1,-1,-1,-1,"Native 71 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 71",10,"548",-1,-1,-1,1,"Native 71 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 72",10,"424",-1,-1,-1,-1,"Native 72 10","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 72",10,"368",-1,-1,-1,1,"Native 72 10","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 1",10,"327",-1,1,-1,-1,"Native 1 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 1",10,"337",-1,1,-1,1,"Native 1 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 2",10,"478",-1,1,-1,-1,"Native 2 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 2",10,"570",-1,1,-1,1,"Native 2 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 3",10,"432",-1,1,-1,-1,"Native 3 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 3",10,"337",-1,1,-1,1,"Native 3 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 4",10,"375",-1,1,-1,-1,"Native 4 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 4",10,"722",-1,1,-1,1,"Native 4 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 5",10,"500",-1,1,-1,-1,"Native 5 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 5",10,"562",-1,1,-1,1,"Native 5 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 6",10,"353",-1,1,-1,-1,"Native 6 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 6",10,"414",-1,1,-1,1,"Native 6 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 7",10,"432",-1,1,-1,-1,"Native 7 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 7",10,"352",-1,1,-1,1,"Native 7 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 8",10,"609",-1,1,-1,-1,"Native 8 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 8",10,"639",-1,1,-1,1,"Native 8 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 9",10,"446",-1,1,-1,-1,"Native 9 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 9",10,"331",-1,1,-1,1,"Native 9 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 10",10,"329",-1,1,-1,-1,"Native 10 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 10",10,"375",-1,1,-1,1,"Native 10 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 11",10,"328",-1,1,-1,-1,"Native 11 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 11",10,"389",-1,1,-1,1,"Native 11 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 12",10,"418",-1,1,-1,-1,"Native 12 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 12",10,"485",-1,1,-1,1,"Native 12 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 13",10,"588",-1,1,-1,-1,"Native 13 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 13",10,"528",-1,1,-1,1,"Native 13 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 14",10,"358",-1,1,-1,-1,"Native 14 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 14",10,"486",-1,1,-1,1,"Native 14 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 15",10,"360",-1,1,-1,-1,"Native 15 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 15",10,"364",-1,1,-1,1,"Native 15 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 16",10,"459",-1,1,-1,-1,"Native 16 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 16",10,"458",-1,1,-1,1,"Native 16 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 17",10,"368",-1,1,-1,-1,"Native 17 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 17",10,"296",-1,1,-1,1,"Native 17 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 18",10,"387",-1,1,-1,-1,"Native 18 10","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 18",10,"385",-1,1,-1,1,"Native 18 10","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 19",10,"467",1,-1,-1,-1,"Native 19 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 19",10,"682",1,-1,-1,1,"Native 19 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 20",10,"482",1,-1,-1,-1,"Native 20 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 20",10,"1110",1,-1,-1,1,"Native 20 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 21",10,"260",1,-1,-1,-1,"Native 21 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 21",10,"311",1,-1,-1,1,"Native 21 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 22",10,"408",1,-1,-1,-1,"Native 22 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 22",10,"472",1,-1,-1,1,"Native 22 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 23",10,"400",1,-1,-1,-1,"Native 23 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 23",10,"1088",1,-1,-1,1,"Native 23 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 24",10,"529",1,-1,-1,-1,"Native 24 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 24",10,"529",1,-1,-1,1,"Native 24 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 25",10,"619",1,-1,-1,-1,"Native 25 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 25",10,"670",1,-1,-1,1,"Native 25 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 26",10,"408",1,-1,-1,-1,"Native 26 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 26",10,"427",1,-1,-1,1,"Native 26 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 27",10,"520",1,-1,-1,-1,"Native 27 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 27",10,"419",1,-1,-1,1,"Native 27 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 28",10,"609",1,-1,-1,-1,"Native 28 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 28",10,"623",1,-1,-1,1,"Native 28 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 29",10,"1296",1,-1,-1,-1,"Native 29 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 29",10,"672",1,-1,-1,1,"Native 29 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 30",10,"359",1,-1,-1,-1,"Native 30 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 30",10,"457",1,-1,-1,1,"Native 30 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 31",10,"469",1,-1,-1,-1,"Native 31 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 31",10,"515",1,-1,-1,1,"Native 31 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 32",10,"377",1,-1,-1,-1,"Native 32 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 32",10,"394",1,-1,-1,1,"Native 32 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 33",10,"383",1,-1,-1,-1,"Native 33 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 33",10,"385",1,-1,-1,1,"Native 33 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 34",10,"584",1,-1,-1,-1,"Native 34 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 34",10,"453",1,-1,-1,1,"Native 34 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 35",10,"569",1,-1,-1,-1,"Native 35 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 35",10,"560",1,-1,-1,1,"Native 35 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 36",10,"408",1,-1,-1,-1,"Native 36 10","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 36",10,"577",1,-1,-1,1,"Native 36 10","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 37",10,"402",1,1,-1,-1,"Native 37 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 37",10,"478",1,1,-1,1,"Native 37 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 38",10,"350",1,1,-1,-1,"Native 38 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 38",10,"384",1,1,-1,1,"Native 38 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 39",10,"1144",1,1,-1,-1,"Native 39 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 39",10,"424",1,1,-1,1,"Native 39 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 40",10,"362",1,1,-1,-1,"Native 40 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 40",10,"423",1,1,-1,1,"Native 40 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 41",10,"304",1,1,-1,-1,"Native 41 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 41",10,"556",1,1,-1,1,"Native 41 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 42",10,"667",1,1,-1,-1,"Native 42 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 42",10,"484",1,1,-1,1,"Native 42 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 43",10,"446",1,1,-1,-1,"Native 43 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 43",10,"1202",1,1,-1,1,"Native 43 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 44",10,"456",1,1,-1,-1,"Native 44 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 44",10,"775",1,1,-1,1,"Native 44 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 45",10,"518",1,1,-1,-1,"Native 45 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 45",10,"650",1,1,-1,1,"Native 45 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 46",10,"456",1,1,-1,-1,"Native 46 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 46",10,"640",1,1,-1,1,"Native 46 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 47",10,"406",1,1,-1,-1,"Native 47 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 47",10,"497",1,1,-1,1,"Native 47 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 48",10,"607",1,1,-1,-1,"Native 48 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 48",10,"518",1,1,-1,1,"Native 48 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 49",10,"468",1,1,-1,-1,"Native 49 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 49",10,"535",1,1,-1,1,"Native 49 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 50",10,"606",1,1,-1,-1,"Native 50 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 50",10,"603",1,1,-1,1,"Native 50 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 51",10,"1396",1,1,-1,-1,"Native 51 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 51",10,"1088",1,1,-1,1,"Native 51 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 52",10,"427",1,1,-1,-1,"Native 52 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 52",10,"510",1,1,-1,1,"Native 52 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 53",10,"424",1,1,-1,-1,"Native 53 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 53",10,"417",1,1,-1,1,"Native 53 10","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 54",10,"405",1,1,-1,-1,"Native 54 10","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
