"subject","item","rt","accessible","inaccessible","group","region","trial","accessible_g","inaccessible_g","group_g","region_g"
"Native 24",1,"752",-1,1,-1,1,"Native 24 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 25",1,"605",-1,1,-1,-1,"Native 25 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 25",1,"500",-1,1,-1,1,"Native 25 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 26",1,"397",-1,1,-1,-1,"Native 26 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 26",1,"344",-1,1,-1,1,"Native 26 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 27",1,"667",-1,1,-1,-1,"Native 27 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 27",1,"678",-1,1,-1,1,"Native 27 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 28",1,"608",-1,1,-1,-1,"Native 28 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 28",1,"624",-1,1,-1,1,"Native 28 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 29",1,"456",-1,1,-1,-1,"Native 29 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 29",1,"652",-1,1,-1,1,"Native 29 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 30",1,"304",-1,1,-1,-1,"Native 30 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 30",1,"288",-1,1,-1,1,"Native 30 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 31",1,"266",-1,1,-1,-1,"Native 31 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 31",1,"476",-1,1,-1,1,"Native 31 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 32",1,"351",-1,1,-1,-1,"Native 32 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 32",1,"457",-1,1,-1,1,"Native 32 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 33",1,"352",-1,1,-1,-1,"Native 33 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 33",1,"391",-1,1,-1,1,"Native 33 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 34",1,"831",-1,1,-1,-1,"Native 34 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 34",1,"614",-1,1,-1,1,"Native 34 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 35",1,"479",-1,1,-1,-1,"Native 35 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 35",1,"649",-1,1,-1,1,"Native 35 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 36",1,"375",-1,1,-1,-1,"Native 36 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 36",1,"378",-1,1,-1,1,"Native 36 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 37",1,"372",1,-1,-1,-1,"Native 37 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 37",1,"466",1,-1,-1,1,"Native 37 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 38",1,"335",1,-1,-1,-1,"Native 38 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 38",1,"329",1,-1,-1,1,"Native 38 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 39",1,"448",1,-1,-1,-1,"Native 39 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 39",1,"1048",1,-1,-1,1,"Native 39 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 40",1,"375",1,-1,-1,-1,"Native 40 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 40",1,"329",1,-1,-1,1,"Native 40 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 41",1,"347",1,-1,-1,-1,"Native 41 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 41",1,"553",1,-1,-1,1,"Native 41 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 42",1,"546",1,-1,-1,-1,"Native 42 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 42",1,"614",1,-1,-1,1,"Native 42 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 43",1,"437",1,-1,-1,-1,"Native 43 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 43",1,"496",1,-1,-1,1,"Native 43 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 44",1,"443",1,-1,-1,-1,"Native 44 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 44",1,"997",1,-1,-1,1,"Native 44 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 45",1,"448",1,-1,-1,-1,"Native 45 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 45",1,"501",1,-1,-1,1,"Native 45 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 46",1,"544",1,-1,-1,-1,"Native 46 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 46",1,"616",1,-1,-1,1,"Native 46 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
